CUSTOMER_ID	COMMENT 	AMOUNT 	CURRENCY	ACCOUNT	NAME	LAST_NAME	TRANSACTION_TYPE
100230	ARREARS PAYMENT SEP-DEC 2015 IDENTNO 024910	"10,000"	RWF	100-98/DUMMY/220	NAME_220	LAST_NAME_1095	D
100231	ARREARS PAYMENT SEP-DEC 2015 ID NO 035391	"10,000"	RWF	100-98/DUMMY/221	NAME_221	LAST_NAME_1096	C
100232	"ARREARS ,PAYMENT ,SEP-DEC 2015 IDNO 027417"	"10,000"	RWF	100-98/DUMMY/222	NAME_222	LAST_NAME_1097	D
100233	"ARREARS ,PAYMENT ,SEP-DEC 2015 NO  ID  019870"	"10,000"	RWF	100-98/DUMMY/223	NAME_223	LAST_NAME_1098	D
100234	ARREARS PAYMENT SEP-DEC 2015  IDNTI  042558	10000	RWF	100-98/DUMMY/224	NAME_224	LAST_'NAME_1099	C
100195	DISB LOAN FEB MAR 16 IDENT NO NO 876 50073	"10,000"	RWF	100-98/DUMMY/185	NAME_185	LAST_NAME_1060	D
100196	REF 68328 DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/186	NAME_186	LAST_NAME_1061	D
100197	REF 66455 | DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/187	NAME_187	LAST_NAME_1062	C
100198	REF 68098 DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/188	NAME_188	LAST_NAME_1063	D
100199	"REF 67338,DISB LOAN  SEP DEC 16"	"10,000"	RWF	100-98/DUMMY/189	NAME_189	LAST_NAME_1064	D
100200	REF 68475DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/190	NAME_190	LAST_NAME_1065	D
100156	REF 66945 DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/191	NAME_191	LAST_NAME_1066	C
100156	REF 66012DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/192	NAME_192	LAST_NAME_1067	D
100156	"REF 68529,DISB LOAN  SEP DEC 16"	"10,000"	RWF	100-98/DUMMY/193	NAME_193	LAST_NAME_1068	D
100204	REF 67546DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/194	NAME_194	LAST_NAME_1069	D
100205	REF 68286DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/195	NAME_195	LAST_NAME_1070	D
