CUSTOMER_ID	COMMENT 	CURRENCY	ACCOUNT	NAME	LAST NAME	 AMOUNT	
100011	DISB LOAN JAN 16 SN  028843	RWF	100-98/DUMMY/001	NAME_001	LAST_NAME_876	"10,000"	
100012	DISB LOAN JAN 16 SN  028094	RWF	"100-98/DUM,MY/002"	NAME_002	LAST_NAME_877	"10,000"	
100013	"DISB LOAN, JAN 16 SN  029510"	RWF	100-98/DUMMY/003	NAME_003	LAST_NAME_878	"10,000"	
100014	DISB LOAN JAN 16 SN  029258	RWF	100-98/DUMMY/004	NAME_004	LAST_NAME_879	"10,000"	
100015	DISB LOAN JAN 16 SN  029521	RWF	100-98/DUMMY/005	NAME_005	LAST_NAME_880	"10,000"	
100016	DISB LOAN JAN 16 SN  028124	RWF	100-98/DUMMY/006	NAME_006	LAST_NAME_881	"10,000"	
100017	DISB LOAN JAN 16 SN  029517	RWF	100-98/DUMMY/007	NAME_007	LAST_NAME_882	"10,000"	
100018	DISB LOAN JAN 16 SN  00111021	RWF	100-98/DUMMY/008	NAME_008	LAST_NAME_883	"10,000"	
100019	DISB LOAN JAN 16 SN  025281	RWF	100-98/DUMMY/009	NAME_009	LAST_NAME_884	"10,000"	
100020	DISB LOAN JAN 16 SN  004640	RWF	100-98/DUMMY/010	NAME_010	LAST_NAME_885	"10,000"	
100021	DISB LOAN JAN 16 SN  002323	RWF	100-98/DUMMY/011	NAME_011	LAST_NAME_886	10000	
100022	DISB LOAN JAN 16 SN  001549	RWF	100-98/DUMMY/012	NAME_012	LAST_NAME_887	"10,000"	
100023	DISB LOAN JAN 16 SN  00099021	RWF	100-98/DUMMY/013	NAME_013	LAST_NAME_888	"10,000"	
100024	DISB LOAN JAN 16 SN  00138949	RWF	100-98/DUMMY/014	NAME_014	LAST_NAME_889	"10,000"	
100025	DISB LOAN JAN 16 SN  00167647	RWF	100-98/DUMMY/015	NAME_015	LAST_NAME_890	"10,000"	
100026	DISB LOAN JAN 16 SN  00209617	RWF	100-98/DUMMY/016	NAME_016	LAST_NAME_891	"10,000"	
100027	DISB LOAN JAN 16 SN  00170699	RWF	100-98/DUMMY/017	NAME_017	LAST_NAME_892	"10,000"	
100028	DISB LOAN JAN 16 SN  00110076	RWF	100-98/DUMMY/018	NAME_018	LAST_NAME_893	"10,000"	
100029	DISB LOAN JAN 16 SN  022782	RWF	100-98/DUMMY/019	NAME_019	LAST_NAME_894	"10,000"	
100030	DISB LOAN JAN 16 SN  00171156	RWF	100-98/DUMMY/020	NAME_020	LAST_NAME_895	"10,000"	
100031	DISB LOAN JAN 16 SN  043181	RWF	100-98/DUMMY/021	NAME_021	LAST_NAME_896	"10,000"	
100032	DISB LOAN JAN 16 SN  028645	RWF	100-98/DUMMY/022	NAME_022	LAST_NAME_897	"10,000"	
100033	DISB LOAN JAN 16 SN  00194393	RWF	100-98/DUMMY/023	NAME_023	LAST_NAME_898	"10,000"	
100034	DISB LOAN JAN 16 SN  00104661	RWF	100-98/DUMMY/024	NAME_024	LAST_NAME_899	"10,000"	
100035	DISB LOAN JAN 16 SN  00143268	RWF	100-98/DUMMY/025	NAME_025	LAST_NAME_900	"10,000"	
100036	DISB LOAN JAN 16 SN  026735	RWF	100-98/DUMMY/026	NAME_026	LAST_NAME_901	"10,000"	
100037	DISB LOAN JAN 16 SN  016185	RWF	100-98/DUMMY/027	NAME_027	LAST_NAME_902	"10,000"	
100038	DISB LOAN JAN 16 SN  028774	RWF	100-98/DUMMY/028	NAME_028	LAST_NAME_903	"10,000"	
100039	DISB LOAN JAN 16 SN  018240	RWF	100-98/DUMMY/029	NAME_029	LAST_NAME_904	10	"9,990"
100040	DISB LOAN JAN 16 SN  028704	RWF	100-98/DUMMY/030	NAME_030	LAST_NAME_905	"10,000"	
100041	DISB LOAN JAN 16 SN  013743	RWF	100-98/DUMMY/031	NAME_031	LAST_NAME_906	"10,000"	
100042	DISB LOAN JAN 16 SN  001359	RWF	100-98/DUMMY/032	NAME_032	LAST_NAME_907	"10,000"	
